feature_name,dtype,description
Rank_W4_dur_access,float64,MOOC behavioral engineered feature
Rank_W4_dur_wiki,float64,MOOC behavioral engineered feature
Rank_W4_dur_discussion,float64,MOOC behavioral engineered feature
Rank_W4_dur_navigate,float64,MOOC behavioral engineered feature
Rank_W4_dur_page_close,float64,MOOC behavioral engineered feature
Rank_W5_cnt_problem,float64,MOOC behavioral engineered feature
Rank_W5_cnt_video,float64,MOOC behavioral engineered feature
Rank_W5_cnt_access,float64,MOOC behavioral engineered feature
Rank_W5_cnt_wiki,float64,MOOC behavioral engineered feature
Rank_W5_cnt_discussion,float64,MOOC behavioral engineered feature
Rank_W5_cnt_navigate,float64,MOOC behavioral engineered feature
Rank_W5_cnt_page_close,float64,MOOC behavioral engineered feature
Rank_W5_dur_problem,float64,MOOC behavioral engineered feature
Rank_W5_dur_video,float64,MOOC behavioral engineered feature
Rank_W5_dur_access,float64,MOOC behavioral engineered feature
Rank_W5_dur_wiki,float64,MOOC behavioral engineered feature
Rank_W5_dur_discussion,float64,MOOC behavioral engineered feature
Rank_W5_dur_navigate,float64,MOOC behavioral engineered feature
Rank_W5_dur_page_close,float64,MOOC behavioral engineered feature
daily_slope,float64,MOOC behavioral engineered feature
daily_recency_weighted,float64,MOOC behavioral engineered feature
new_participation_density,float64,MOOC behavioral engineered feature
peak_week_w1,float64,MOOC behavioral engineered feature
peak_week_w2,float64,MOOC behavioral engineered feature
peak_week_w3,float64,MOOC behavioral engineered feature
peak_week_w4,float64,MOOC behavioral engineered feature
course_id_encoded,float64,MOOC behavioral engineered feature
